,accuracy,database_address,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
4308,ROOFTOP,475 SMITH ST,"475 Smith St, Providence, RI 02908, USA",ChIJ3_0P2gZF5IkR7gn_fGiIeyw,475 SMITH ST,41.8357969,-71.4265458,4,02908,OK,premise
4309,ROOFTOP,29 FREDERICK ST,"29 Frederick St, Garnerville, NY 10923, USA",ChIJYymSrO7EwokR1-rAQB8yojs,29 FREDERICK ST,41.2155448,-74.000518,1,10923,OK,premise
4310,ROOFTOP,29 FREDERICK ST,"29 Frederick St, Garnerville, NY 10923, USA",ChIJYymSrO7EwokR1-rAQB8yojs,29 FREDERICK ST,41.2155448,-74.000518,1,10923,OK,premise
4311,ROOFTOP,460 SMITH ST,"460 Smith St, Middletown, CT 06457, USA",ChIJEwoLQCi154kRILZsP0uYPus,460 SMITH ST,41.58463860000001,-72.7199797,4,06457,OK,street_address
4312,ROOFTOP,939 DOUGLAS AVE,"939 Douglas Ave, Portsmouth, VA 23707, USA",ChIJoYP3-XKiuokRCVW3ibfrTX8,939 DOUGLAS AVE,36.8378771,-76.3379726,1,23707,OK,premise
4313,ROOFTOP,960 BROAD ST,"960 Broad St, Providence, RI 02905, USA",ChIJ5RC6qIlP5IkRtca4HUh2vbQ,960 BROAD ST,41.7986236,-71.4144317,1,02905,OK,premise
4314,ROOFTOP,860 ELMWOOD AVE,"860 Elmwood Ave, Providence, RI 02907, USA",ChIJMcNJTJpP5IkRLp8UlPshYtQ,860 ELMWOOD AVE,41.7891443,-71.42054879999999,2,02907,OK,premise
4315,ROOFTOP,PUBLIC ST & ALLENS AVE,"110 E Church St, Webb City, MO 64870, USA",ChIJffLX6L5-yIcR1Zt4K9MkpP8,PUBLIC ST & ALLENS AVE,37.1457083,-94.4629564,1,64870,OK,"establishment,florist,local_government_office,point_of_interest,store"
4316,ROOFTOP,36 MITCHELL ST,"36 Mitchell St, Newnan, GA 30263, USA",ChIJSzmXcWTI9IgRUQttLcDdibM,36 MITCHELL ST,33.367835,-84.7872986,2,30263,OK,premise
4317,ROOFTOP,199 THURBERS AVE,"199 Thurbers Ave, Providence, RI 02905, USA",ChIJu5swnopP5IkRTHRBweogEP4,199 THURBERS AVE,41.7996579,-71.40790199999999,1,02905,OK,street_address
4318,ROOFTOP,17 SASSAFRAS ST,"17 Sassafras St, Providence, RI 02907, USA",ChIJlTAwBYxP5IkRPNRRND5JIwg,17 SASSAFRAS ST,41.7949393,-71.4115065,2,02907,OK,street_address
4319,GEOMETRIC_CENTER,LENOX AVE & NIAGARA ST,"Malcolm X Blvd, New York, NY, USA",ChIJw1EfeA32wokRr_7Q8LCpFws,LENOX AVE & NIAGARA ST,40.8096568,-73.9442007,2,,OK,route
4320,GEOMETRIC_CENTER,BROAD ST/MILLER AVE,"Miller Ave & Broad St, Providence, RI 02905, USA",EjBNaWxsZXIgQXZlICYgQnJvYWQgU3QsIFByb3ZpZGVuY2UsIFJJIDAyOTA1LCBVU0EiZiJkChQKEgnnes0gjU_kiRHZh0tg7K6exBIUChIJ53rNII1P5IkR2YdLYOyunsQaFAoSCblRvXGST-SJEVT_oLILbiX_GhQKEgmD3n3VjE_kiREsosqTmEsIoyIKDU__6BgVAxxw1Q,BROAD ST/MILLER AVE,41.7922895,-71.4073085,1,02905,OK,intersection
4321,ROOFTOP,245 SAYLES ST,"245 Sayles St, Woonsocket, RI 02895, USA",ChIJwfJjfFdq5IkRTm4LZZEtzFw,245 SAYLES ST,42.001222,-71.521412,2,02895,OK,street_address
4322,ROOFTOP,104 OCEAN ST,"104 Ocean St, Lynn, MA 01902, USA",ChIJn-9ul75s44kRrGuOvpuIHJM,104 OCEAN ST,42.4658178,-70.92577059999999,2,01902,OK,premise
4323,ROOFTOP,104 OCEAN ST,"104 Ocean St, Lynn, MA 01902, USA",ChIJn-9ul75s44kRrGuOvpuIHJM,104 OCEAN ST,42.4658178,-70.92577059999999,2,01902,OK,premise
4324,ROOFTOP,593 EDDY ST,"593 Eddy St, Providence, RI 02903, USA",ChIJu8dIx2lF5IkR-9_ZGx-BU5Q,593 EDDY ST,41.8113917,-71.41112420000002,1,02903,OK,street_address
4325,ROOFTOP,289 DUDLEY ST,"289 Dudley St, Boston, MA 02119, USA",ChIJC5wd7Dl644kRMP00gloRKS8,289 DUDLEY ST,42.328149,-71.0784353,2,02119,OK,street_address
4326,ROOFTOP,1000 ELMWOOD AVE,"1000 Elmwood Ave, Rochester, NY 14620, USA",ChIJdyEEQte01okRCgDt5814Q6Q,1000 ELMWOOD AVE,43.125648,-77.612107,2,14620,OK,street_address
4327,ROOFTOP,370 ATWELLS AVE,"370 Atwells Ave, Providence, RI 02903, USA",ChIJyTYKoApF5IkRTuOuv2A2kXA,370 ATWELLS AVE,41.823652,-71.4299371,1,02903,OK,street_address
4328,ROOFTOP,30 NICHOLAS BROWN YARDS,"30 Nicholas Brown Yards, Providence, RI 02904, USA",ChIJa3wBHyBF5IkRFZ8NIDB3HBk,30 NICHOLAS BROWN YARDS,41.836762,-71.40598,1,02904,OK,street_address
4329,ROOFTOP,150 POCASSET AVE,"150 Pocasset Ave, Providence, RI 02909, USA",ChIJY6_ZtfRF5IkRxLsklzRn7LE,150 POCASSET AVE,41.8111198,-71.45400819999999,2,02909,OK,premise
4330,ROOFTOP,300 WEYBOSSET ST,"300 Weybosset St, Providence, RI 02903, USA",ChIJOdwdNhNF5IkRg6AXOZ9lz1o,300 WEYBOSSET ST,41.820239,-71.41361599999999,1,02903,OK,street_address
4331,ROOFTOP,7 PROVIDENCE PL,"7 Providence Pl, Providence, RI 02903, USA",ChIJx5aVaBBF5IkRvTLb-YKRJrE,7 PROVIDENCE PL,41.828897,-71.415913,1,02903,OK,street_address
4332,ROOFTOP,830 CHALKSTONE AVE,"830 Chalkstone Ave, Providence, RI 02908, USA",ChIJ68uLr6hF5IkRMvskoChXqdY,830 CHALKSTONE AVE,41.8323154,-71.4340067,1,02908,OK,street_address
4333,ROOFTOP,597 BRANCH AVE,"597 Branch Ave, Providence, RI 02904, USA",ChIJ5d-tJfdE5IkRMdEtudBMhCk,597 BRANCH AVE,41.8526956,-71.42481099999999,2,02904,OK,street_address
4334,ROOFTOP,7 PROVIDENCE PL,"7 Providence Pl, Providence, RI 02903, USA",ChIJx5aVaBBF5IkRvTLb-YKRJrE,7 PROVIDENCE PL,41.828897,-71.415913,1,02903,OK,street_address
4335,ROOFTOP,99 KENNEDY PLZ,"99 Kennedy Plaza, Providence, RI 02903, USA",ChIJR7wUVRFF5IkR019VLu6PGQo,99 KENNEDY PLZ,41.824537,-71.41223699999999,1,02903,OK,street_address
4336,ROOFTOP,379 WASHINGTON ST,"379 Washington Ave, Brooklyn, NY 11238, USA",ChIJ4_L7CrxbwokRQKVEP_kGUbw,379 WASHINGTON ST,40.687199,-73.9652337,1,11238,OK,premise
4337,ROOFTOP,235 WESTMINSTER ST,"235 Westminster St, Providence, RI 02903, USA",ChIJJXsSjhNF5IkR6wFxDO42loQ,235 WESTMINSTER ST,41.8229773,-71.4128948,3,02903,OK,street_address
