,accuracy,database_address,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
4478,GEOMETRIC_CENTER,CHARLES ST & CORLISS ST,"Charles St, Boston, MA 02122, USA",ChIJW5Ilpbx744kRWSq__oOQZVY,CHARLES ST & CORLISS ST,42.3003886,-71.06247259999999,2,02122,OK,route
4479,ROOFTOP,25 BATH ST,"25 Bath St, Ballston Spa, NY 12020, USA",ChIJjQi-haJA3okR0mebrV8sgLA,25 BATH ST,43.0016702,-73.85107239999999,2,12020,OK,premise
4480,ROOFTOP,25 BATH ST,"25 Bath St, Ballston Spa, NY 12020, USA",ChIJjQi-haJA3okR0mebrV8sgLA,25 BATH ST,43.0016702,-73.85107239999999,2,12020,OK,premise
4481,ROOFTOP,678 BRANCH AVE,"678 Branch Ave, Providence, RI 02904, USA",ChIJoWVPovdE5IkRPr3ezzexw-o,678 BRANCH AVE,41.8523343,-71.4274781,1,02904,OK,subpremise
4482,ROOFTOP,51 SILVER SPRING ST,"51 Silver Spring St, Providence, RI 02904, USA",ChIJd5Blr-RE5IkR3o8xZAbC5E4,51 SILVER SPRING ST,41.844888,-71.4167222,2,02904,OK,street_address
4483,ROOFTOP,1039 BRANCH AVE,"1039 Branch Ave, Providence, RI 02904, USA",ChIJR0ld2FpE5IkR90pZ12Zwr2s,1039 BRANCH AVE,41.8555583,-71.440935,1,02904,OK,premise
4484,ROOFTOP,100 HOUGHTON ST,"100 Houghton St, Worcester, MA 01604, USA",ChIJQ0mUqAwG5IkRgs2GmM_17qE,100 HOUGHTON ST,42.2503447,-71.7853002,1,01604,OK,premise
4485,ROOFTOP,100 HOUGHTON ST,"100 Houghton St, Worcester, MA 01604, USA",ChIJQ0mUqAwG5IkRgs2GmM_17qE,100 HOUGHTON ST,42.2503447,-71.7853002,1,01604,OK,premise
4486,ROOFTOP,100 HOUGHTON ST,"100 Houghton St, Worcester, MA 01604, USA",ChIJQ0mUqAwG5IkRgs2GmM_17qE,100 HOUGHTON ST,42.2503447,-71.7853002,1,01604,OK,premise
4487,GEOMETRIC_CENTER,HAWKINS ST & YORKSHIRE ST,"Hawkins St, Newark, NJ 07105, USA",ChIJ_--DJu5TwokRdyiqwQY0PsE,HAWKINS ST & YORKSHIRE ST,40.7294269,-74.1393033,2,07105,OK,route
4488,ROOFTOP,460 SMITH ST,"460 Smith St, Middletown, CT 06457, USA",ChIJEwoLQCi154kRILZsP0uYPus,460 SMITH ST,41.58463860000001,-72.7199797,4,06457,OK,street_address
4489,ROOFTOP,460 SMITH ST,"460 Smith St, Middletown, CT 06457, USA",ChIJEwoLQCi154kRILZsP0uYPus,460 SMITH ST,41.58463860000001,-72.7199797,4,06457,OK,street_address
4490,ROOFTOP,460 SMITH ST,"460 Smith St, Middletown, CT 06457, USA",ChIJEwoLQCi154kRILZsP0uYPus,460 SMITH ST,41.58463860000001,-72.7199797,4,06457,OK,street_address
4491,ROOFTOP,70 FELIX ST,"70 Felix St, Providence, RI 02908, USA",ChIJZegJogdF5IkRXkdCm0lZ4so,70 FELIX ST,41.83402,-71.428449,1,02908,OK,street_address
4492,ROOFTOP,228 OAKLAND AVE,"228 Oakland Ave, Spartanburg, SC 29302, USA",ChIJW_Iqy491V4gRU6r7tqLjWLQ,228 OAKLAND AVE,34.9551327,-81.92323669999999,3,29302,OK,premise
4493,ROOFTOP,325 WASHINGTON ST,"325 Washington St, Providence, RI 02903, USA",ChIJH4oA53JF5IkRua4IdGaOx1Y,325 WASHINGTON ST,41.8197292,-71.4203694,1,02903,OK,premise
4494,ROOFTOP,105 VANDEWATER ST,"105 Vandewater St, Providence, RI 02908, USA",ChIJw327_fdE5IkRqEVlGHjZV2I,105 VANDEWATER ST,41.8518169,-71.42981999999999,2,02908,OK,street_address
4495,ROOFTOP,105 VANDEWATER ST,"105 Vandewater St, Providence, RI 02908, USA",ChIJw327_fdE5IkRqEVlGHjZV2I,105 VANDEWATER ST,41.8518169,-71.42981999999999,2,02908,OK,street_address
4496,ROOFTOP,1 CUNNINGHAM SQ,"Harkins Hall, 1 Cunningham Square, Providence, RI 02908, USA",ChIJDw9hO1NE5IkR1CEr6kQf9bI,1 CUNNINGHAM SQ,41.8441035,-71.4379605,1,02908,OK,premise
4497,ROOFTOP,555 VEAZIE ST,"555 Veazie St, Providence, RI 02904, USA",ChIJlaOVK19E5IkRdA56VAtQLsg,555 VEAZIE ST,41.85686279999999,-71.4325802,1,02904,OK,premise
4498,ROOFTOP,211 VEAZIE ST,"211 Veazie St, Providence, RI 02904, USA",ChIJF52NbFdE5IkRAv091wAXgJ0,211 VEAZIE ST,41.8509644,-71.43387059999999,1,02904,OK,premise
4499,ROOFTOP,VICKSBURG ST & HYACINTH ST,"6254 Vicksburg St, New Orleans, LA 70124, USA",ChIJNybKsA6vIIYRHPVhMF0rUos,VICKSBURG ST & HYACINTH ST,30.003923,-90.1070337,1,70124,OK,"establishment,point_of_interest"
4500,ROOFTOP,775 CRANSTON ST,"775 Cranston St, Providence, RI 02907, USA",ChIJHe84d31P5IkRcGjURQZcaik,775 CRANSTON ST,41.8043035,-71.4391432,1,02907,OK,street_address
4501,ROOFTOP,775 CRANSTON ST,"775 Cranston St, Providence, RI 02907, USA",ChIJHe84d31P5IkRcGjURQZcaik,775 CRANSTON ST,41.8043035,-71.4391432,1,02907,OK,street_address
4502,ROOFTOP,775 CRANSTON ST,"775 Cranston St, Providence, RI 02907, USA",ChIJHe84d31P5IkRcGjURQZcaik,775 CRANSTON ST,41.8043035,-71.4391432,1,02907,OK,street_address
4503,GEOMETRIC_CENTER,LINWOOD/UNION,"Stevens Point, WI 54481, USA",ChIJty331IReAIgR7-1ni8Y-VtE,LINWOOD/UNION,44.4673514,-89.6535499,1,54481,OK,"cemetery,establishment,point_of_interest,premise"
4504,GEOMETRIC_CENTER,LINWOOD/UNION,"Stevens Point, WI 54481, USA",ChIJty331IReAIgR7-1ni8Y-VtE,LINWOOD/UNION,44.4673514,-89.6535499,1,54481,OK,"cemetery,establishment,point_of_interest,premise"
